,DBIdentifier,DBIdentifierType,NodeLabel,TaxId
0,SAMN04315570,N,Bacteria_CPR_Microgenomates_OP11_Amesbacteria_RIFCSPHIGHO2_12_FULL_OP11_Amesbacteria_48_14,1797257
0,SAMN04315379,N,Bacteria_CPR_Microgenomates_OP11_Daviesbacteria_RIFCSPHIGHO2_02_FULL_OP11_Daviesbacteria_39_12,1797770
0,CP003050,N,Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halovivax_ruber_XH_70_DSM_18193,797302
0,NC_015703,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Runella_slithyformis_LSU4_DSM_19594,761193
0,SAMN00016665,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae_Desulfonema_limicola,859314
0,SAMN04314762,N,Bacteria_CPR_Parcubacteria_OD1_Kaiserbacteria_RIFOXYD1_FULL_OD1_Kaiserbacteria_47_14,1798533
0,SAMN00627089,N,Bacteria_Firmicutes_Clostridia_Clostridiales_unclassified_Clostridiales_Flavonifractor_Flavonifractor_plautii_ATCC_29863,411475
0,SAMN03319322,N,Bacteria_CPR_Berkelbacteria_ACD58_GWA2_Berkelbacteria_35_9,1618333
0,SAMN02745963,N,Bacteria_uncultured_bacterium_SCGC_AB_137_L08,1266922
0,SAMN04314309,N,Bacteria_CPR_Microgenomates_OP11_Woesebacteria_RIFOXYA1_FULL_OP11_Woesebacteria_43_9,1802534
0,NC_020299,N,Bacteria_Proteobacteria_Betaproteobacteria_unclassified_Betaproteobacteria_Candidatus_Kinetoplastibacterium_oncopeltii_TCC290E,1208920
0,NC_019751,N,Bacteria_Cyanobacteria_Nostocales_Rivulariaceae_Calothrix_sp._PCC_6303,1170562
0,SAMN04314021,N,Bacteria_CPR_Microgenomates_OP11_Gottesmanbacteria_RBG_13_OP11_Gottesmanbacteria_45_10,1798370
0,SAMN04316194,N,Bacteria_SM2F11_RIFCSPHIGHO2_01_SM2F11_52_17,1817820
0,NC_012982,N,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Hyphomonadaceae_Hirschia_baltica_ATCC_49814,582402
0,NC_010995,N,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Cellvibrio_japonicus_Ueda107,498211
0,NZ_AJKI00000000,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Bacteroidia_Bacteroidales_Marinilabiaceae_Marinilabilia_salmonicolor_JCM_21150,1168289
0,SAMN04314979,N,Bacteria_SM2F11_RIFCSPHIGHO2_01_FULL_SM2F11_43_23,1817822
0,NZ_AXWS00000000,N,Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Alcaligenaceae_Derxia_gummosa_DSM_723,1121388
0,NZ_AZXR00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Promicromonosporaceae_Promicromonospora_kroppenstedtii_RS16_DSM_19349,926564
0,NZ_ARFZ00000000,N,Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_unclassified_Rhizobiales_Amorphus_coralli_DSM_19760,1120983
0,NC_017079,N,Bacteria_Chloroflexi_Caldilineae_Caldilineales_Caldilineaceae_Caldilinea_aerophila_STL_6_O1_DSM_14535,926550
0,SAMN04314627,N,Bacteria_Elusimicrobia_RIFOXYD12_FULL_Elusimicrobia_66_9,1797972
0,SAMN04315064,N,Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPLOWO2_01_FULL_OD1_Nomurabacteria_40_15,1801772
0,LSSB00000000,N,Archaea_CP_Z7ME43_WOR_bin_DG_70,1803813
0,SAMN02463903,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Bergeyella_zoohelcum_CCUG_30536,883098
0,NZ_CP006587,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Hymenobacter_sp._APR13,1356852
0,SAMN02256471,N,Bacteria_Nitrospinae_Nitrospinia_Nitrospinales_Nitrospinaceae_Nitrospina_sp._AB_629_B18,1131269
0,SAMN04314941,N,Bacteria_CPR_unclassified_bacteria_RIFCSPHIGHO2_01_FULL_PER_46_8,1817815
0,SAMN02441801,N,Bacteria_Firmicutes_Bacilli_Bacillales_Alicyclobacillaceae_Alicyclobacillus_acidocaldarius_LAA1_unfinished_sequence,543302
0,SAMN03319303,N,Bacteria_CPR_Parcubacteria_OD1_Campbellbacteria_GWD2_OD1_35_24,1618632
0,PRJNA191,N,Eukaryota_stramenopiles_Bacillariophyta_Coscinodiscophyceae_Thalassiosirophycidae_Thalassiosirales_Thalassiosiraceae_Thalassiosira_pseudonana_CCMP1335,296543
0,SAMN04314255,N,Bacteria_CPR_Microgenomates_OP11_RBG_16_OP11_39_9b,1802595
0,NC_005363,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Bdellovibrionales_Bdellovibrionaceae_Bdellovibrio_bacteriovorus_HD100,264462
0,PRJNA18751,N,Eukaryota_Opisthokonta_Metazoa_Eumetazoa_Bilateria_Coelomata_Protostomia_Ecdysozoa_Panarthropoda_Arthropoda_Mandibulata_Pancrustacea_Hexapoda_Insecta_Dicondylia_Culex_pipiens_quinquefasciatus,7176
0,SAMN04314477,N,Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFOXYB1_FULL_OD1_Nomurabacteria_39_16,1801803
0,SAMN03319497,N,Bacteria_CPR_Parcubacteria_OD1_GWC2_OD1_40_10,1618923
0,SAMN04315089,N,Bacteria_CPR_Parcubacteria_OD1_Uhrbacteria_RIFCSPLOWO2_01_FULL_OD1_Uhrbacteria_47_25,1802402
0,NC_014365,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Desulfarculales_Desulfarculaceae_Desulfarculus_baarsii_DSM_2075,644282
0,SAMN04316181,N,Bacteria_CPR_Parcubacteria_OD1_Magasanikbacteria_RIFOXYC2_FULL_OD1_Magasanikbacteria_42_28,1798704
0,NZ_ACJM00000000,N,Bacteria_Firmicutes_Clostridia_Clostridiales_Syntrophomonadaceae_Dethiobacter_alkaliphilus_AHT_1_unfinished_sequence,555088
0,NC_007404,N,Bacteria_Proteobacteria_Betaproteobacteria_Hydrogenophilales_Hydrogenophilaceae_Thiobacillus_denitrificans_ATCC_25259,292415
0,NC_015518,N,Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome,933801
0,SAMN04316163,N,Bacteria_Acidobacteria_RBG_16_Acidobacteria_68_9,1797173
0,AYLK00000000,N,Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halonotius_sp._A07HN63,1412873
0,NZ_CP009239,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Cellulophaga_lytica_HI1,979
0,NC_015183,N,Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_RhizobiumAgrobacterium_group_Agrobacterium_sp._H13_3,861208
0,SAMN04314238,N,Bacteria_CPR_Parcubacteria_OD1_RIF21_GWA2_RIF21_46_15,1802443
0,14086,J,Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_G05,0
0,SAMN04315031,N,Bacteria_CPR_Parcubacteria_OD1_Moranbacteria_RIFCSPHIGHO2_01_FULL_OD1_Moranbacteria_54_31,1801637
0,SAMN02440401,N,Archaea_CP_YNPFFA_candidate_division_YNPFFA_archaeon_SCGC_AAA471_C03_GBS_N_001_6,1052803
0,NC_014216,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Desulfobacterales_Desulfobulbaceae_Desulfurivibrio_alkaliphilus_AHT2,589865
0,SAMN04313747,N,Bacteria_Acidobacteria_RBG_16_Acidobacteria_64_8,1797172
0,SAMN04313709,N,Bacteria_Elusimicrobia_RBG_16_Elusimicrobia_66_12,1797940
0,NZ_ARBL00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micromonosporineae_Micromonosporaceae_Catelliglobosispora_koreensis_DSM_44566,1121272
0,55111,J,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_Thermodesulforhabdus_norvegica_DSM_9990,0
0,NC_015277,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Sphingobacteriaceae_Sphingobacterium_sp._21,743722
0,PRJNA70685,N,Eukaryota_Opisthokonta_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Agaricomycetes_Agaricomycetidae_Agaricales_Strophariaceae_Hypholoma_sublateritium,945553
0,PRJNA47111,N,Eukaryota_Rhizaria_Cercozoa_Chlorarachniophyceae_Bigelowiella_natans,753081
0,NZ_JFBT00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Cryptosporangiaceae_Cryptosporangium_arvum_YU_629_21_DSM_44712,927661
0,SAMN04316197,N,Bacteria_Nitrospinae_RIFCSPLOWO2_12_FULL_Nitrospinae_47_7,1801688
0,SAMN03319767,N,Bacteria_CPR_Saccharibacteria_TM7_GWC2_TM7_44_17_complete,1619070
0,SAMN02440390,N,Bacteria_Marine_group_A_SAR406_SAR406_cluster_bacterium_SCGC_AAA257_N23_Etoliko_001_146,1047054
0,NZ_ABCS00000000,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Myxococcales_Nannocystineae_Nannocystaceae_Plesiocystis_pacifica_SIR_1_unfinished_sequence,391625
0,SAMN04328271,N,Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_CG2_30_FULL_Nomurabacteria_OD1_43_9,1805283
0,NC_014109,N,Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Candidatus_Riesia_pediculicola_USDA,515618
0,SAMN04315892,N,Bacteria_CPR_Parcubacteria_OD1_Giovannonibacteria_RIFCSPLOWO2_12_FULL_OD1_Giovannonibacteria_43_11c,1798362
0,SAMN03319683,N,Bacteria_CPR_Microgenomates_OP11_Beckwithbacteria_GWA2_OP11_43_10,1618369
0,NC_016052,N,Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Tetragenococcus_halophilus_NBRC_12172,945021
0,SAMN03319447,N,Bacteria_CPR2_GWC2_CPR2_39_10,1618345
0,NC_011297,N,Bacteria_Dictyoglomi_Dictyoglomia_Dictyoglomales_Dictyoglomaceae_Dictyoglomus_thermophilum_H_6_12,309799
0,SAMN04315521,N,Bacteria_CPR_Parcubacteria_OD1_Adlerbacteria_RIFCSPHIGHO2_02_FULL_OD1_Adlerbacteria_52_17,1797240
0,14059,J,Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_M23,0
0,SAMN02982999,N,Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Erythrobacteraceae_Altererythrobacter_ishigakiensis_ATCC_BAA_2084,476157
0,NZ_ALVZ00000000,N,Bacteria_Cyanobacteria_Pleurocapsales_Xenococcus_sp._PCC_7305,102125
0,SAMN04313985,N,Bacteria_CP_RIF8_RBG_13_RIF8_66_14,1817816
0,NZ_CP007243,N,Bacteria_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Leptospirillum_ferriphilum_YSK,1441628
0,NZ_AAOE00000000,N,Bacteria_Proteobacteria_Gammaproteobacteria_unclassified_Gammaproteobacteria_Reinekea_blandensis_MED297,314283
0,NC_007963,N,Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Chromohalobacter_salexigens_1H11_DSM_3043,290398
0,12021,J,Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_strain_BS4,0
0,SAMN04314235,N,Bacteria_CPR_Parcubacteria_OD1_GWA1_OD1_51_14,1802435
0,NC_016940,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Sphingobacteriia_Sphingobacteriales_Saprospiraceae_Saprospira_grandis_Lewin,984262
0,NZ_ATVN00000000,N,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Pseudorhodobacter_ferrugineus_DSM_5888,1123027
0,NC_013716,N,Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Citrobacter_rodentium_ICC168,637910
0,NC_019791,N,Archaea_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_lagunensis_IC_154_DSM_15908,1056495
0,SAMN04315140,N,Bacteria_OP3X_RIFCSPLOWO2_01_FULL_OP3X_45_10,1801826
0,SAMN04314453,N,Bacteria_CPR_Parcubacteria_OD1_Uhrbacteria_RIFOXYB2_FULL_OD1_Uhrbacteria_41_18,1802420
0,NZ_AXWO00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Glycomycineae_Glycomycetaceae_Glycomyces_arizonensis_DSM_44726,1121926
0,NC_017075,N,Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_unclassified_Burkholderiales_Burkholderiales_Genera_incertae_sedis_Rubrivivax_gelatinosus_IL144,983917
0,SAMN04315757,N,Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_66_10,1797190
0,NC_008554,N,Bacteria_Proteobacteria_deltaepsilon_subdivisions_Deltaproteobacteria_Syntrophobacterales_Syntrophobacteraceae_Syntrophobacter_fumaroxidans_MPOB,335543
0,NZ_AEPB00000000,N,Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Planococcus_donghaensis_MPA1U2_contig00058,933115
0,SAMN03994213,N,Bacteria_Zixibacteria_uncultured_SMTZ_73,1703425
0,SAMN02441601,N,Bacteria_Marine_group_A_SAR406_SAR406_cluster_bacterium_JGI_0000039_D08_Combined_Assembly_SAR406_1__SAR406,1047055
0,SAMN04314873,N,Bacteria_SM2F11_RIFCSPHIGHO2_01_FULL_SM2F11_46_24,1817825
0,NZ_AZNU00000000,N,Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_incertae_sedis_Bacillales_Family_X._Incertae_Sedis_Thermicanus_aegyptius_DSM_12793,1089548
0,NC_014153,N,Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_unclassified_Burkholderiales_Burkholderiales_Genera_incertae_sedis_Thiomonas_intermedia_K12,75379
0,NZ_AEPQ00000000,N,Bacteria_Cyanobacteria_Oscillatoriales_Lyngbya_majuscula_3L,489825
0,SAMN04315370,N,Bacteria_CPR_Parcubacteria_OD1_Uhrbacteria_RIFCSPHIGHO2_02_FULL_OD1_Uhrbacteria_53_13,1802389
0,NZ_AGCW00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Microbacteriaceae_Leucobacter_chromiiresistens_JG_31,714083
0,NC_019757,N,Bacteria_Cyanobacteria_Nostocales_Nostocaceae_Cylindrospermum_stagnale_PCC_7417,56107
0,NZ_CAIZ00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Intrasporangiaceae_Tetrasphaera_elongata_DSM_14184,1193181
0,SAMN04316085,N,Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPLOWO2_02_FULL_RIF16_44_35,1802327
0,NC_014314,N,Bacteria_Chloroflexi_Dehalococcoidetes_Dehalogenimonas_lykanthroporepellens_BL_DC_9,552811
0,NC_003910,N,Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia_psychrerythraea_34H,167879
0,PRJNA16585,N,Eukaryota_Opisthokonta_Metazoa_Eumetazoa_Bilateria_Coelomata_Protostomia_Ecdysozoa_Panarthropoda_Arthropoda_Mandibulata_Pancrustacea_Hexapoda_Insecta_Dicondylia_Ricinus_communis,3988
0,NC_007969,N,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter_cryohalolentis_K5,335284
0,SAMN04315081,N,Bacteria_CPR_Parcubacteria_OD1_RIF16_RIFCSPLOWO2_01_FULL_RIF16_45_15b,1802319
0,NZ_ATMR00000000,N,Bacteria_Bacteroidetes_Chlorobi_group_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Winogradskyella_psychrotolerans_RS_3,641526
0,SAMN03319563,N,Bacteria_CPR_Microgenomates_OP11_Curtissbacteria_GWA1_OP11_41_11_plus,1618409
0,SAMN04314206,N,Bacteria_Gemmatimonadetes_GWC2_Gemmatimonadetes_71_10,1798309
0,NC_008009,N,Bacteria_FibrobacteresAcidobacteria_group_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Candidatus_Koribacter_versatilis_Ellin345,204669
0,NZ_CP006019,N,Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Palaeococcus_pacificus_DY20341,1343739
0,NC_013894,N,Bacteria_Aquificae_Aquificae_Aquificales_Aquificaceae_Thermocrinis_albus_DSM_14484,638303
0,PRJEA42427,N,Eukaryota_Opisthokonta_Metazoa_Eumetazoa_Bilateria_Coelomata_Deuterostomia_Chordata_Tunicata_Appendicularia_Oikopleuridae_Oikopleura_dioica,34765
0,SAMN04315050,N,Bacteria_CPR_Microgenomates_OP11_Woesebacteria_RIFCSPLOWO2_01_FULL_OP11_Woesebacteria_44_24b,1802526
0,NZ_BAFE00000000,N,Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Micrococcineae_Dermatophilaceae_Mobilicoccus_pelagius_NBRC_104925,1089455
0,SAMN04315916,N,Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_61_28,1797180
0,NC_016026,N,Bacteria_Proteobacteria_Alphaproteobacteria_unclassified_Alphaproteobacteria_Micavibrio_aeruginosavorus_ARL_13,856793
0,NC_017080,N,Bacteria_Planctomycetes_Phycisphaerae_Phycisphaerales_Phycisphaeraceae_Phycisphaera_mikurensis_NBRC_102666,1142394
0,SAMN04315420,N,Bacteria_CPR_Parcubacteria_OD1_Nomurabacteria_RIFCSPHIGHO2_02_FULL_OD1_Nomurabacteria_42_19,1801756
0,SAMN04315985,N,Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_65_29,1797182
0,NC_002977,N,Bacteria_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylococcus_capsulatus_Bath,243233
0,SAMN03319571,N,Bacteria_CPR_Microgenomates_OP11_Woesebacteria_GWA1_OP11_41_13b,1618555
